epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.5423,1.45094,3.76414,1.49196,0.21978,0.25446,0.10461,0.07029,1.4406,3.56236,1.70079,0.0671844,0.000331471,0.000331471
2,75.0715,1.51805,3.05493,1.52175,0.27157,0.28675,0.17742,0.12181,1.40178,2.7483,1.62819,0.0341842,0.000664642,0.000664642
3,111.515,1.5065,2.76807,1.52059,0.19082,0.34873,0.20159,0.13268,1.4393,2.63138,1.62502,0.00118338,0.000997163,0.000997163
4,148.072,1.48838,2.62923,1.50572,0.28459,0.35328,0.25168,0.16654,1.4288,2.44884,1.66419,0.000997803,0.000997803,0.000997803
5,184.691,1.46246,2.50863,1.48605,0.18729,0.39391,0.29014,0.19826,1.37252,2.30723,1.64151,0.000996097,0.000996097,0.000996097
6,221.448,1.45014,2.40724,1.47912,0.29018,0.32976,0.29028,0.1944,1.38392,2.35338,1.57697,0.000993906,0.000993906,0.000993906
7,258.33,1.43238,2.34128,1.46303,0.24834,0.43038,0.32701,0.22682,1.36563,2.32597,1.58082,0.000991232,0.000991232,0.000991232
8,296.711,1.43073,2.28755,1.4678,0.55989,0.3619,0.41874,0.28631,1.34609,1.98934,1.54206,0.000988079,0.000988079,0.000988079
9,336.823,1.41197,2.19154,1.44327,0.30069,0.47672,0.38315,0.27328,1.3283,2.03771,1.54217,0.000984449,0.000984449,0.000984449
10,375.128,1.39893,2.16214,1.43808,0.34711,0.4535,0.41216,0.29654,1.30158,2.02152,1.51232,0.000980345,0.000980345,0.000980345
11,413.216,1.39325,2.12096,1.42792,0.3823,0.41331,0.38099,0.26641,1.30102,2.04182,1.50986,0.000975773,0.000975773,0.000975773
12,451.222,1.36648,2.09166,1.4212,0.49452,0.38979,0.38625,0.2658,1.33687,2.11316,1.55203,0.000970736,0.000970736,0.000970736
13,488.709,1.36718,2.022,1.41109,0.52703,0.39241,0.41038,0.28849,1.31294,2.05981,1.5144,0.000965239,0.000965239,0.000965239
14,526.294,1.35762,1.97719,1.4053,0.44646,0.47439,0.44945,0.32085,1.28791,1.85679,1.50531,0.000959289,0.000959289,0.000959289
15,563.845,1.35598,1.9489,1.40626,0.46395,0.51454,0.4808,0.33838,1.2945,1.73853,1.48542,0.000952889,0.000952889,0.000952889
16,601.814,1.34679,1.93941,1.39416,0.40273,0.52082,0.48115,0.35378,1.25996,1.71904,1.47197,0.000946048,0.000946048,0.000946048
17,639.586,1.35046,1.8933,1.38951,0.43762,0.52464,0.48267,0.34143,1.26062,1.77351,1.47792,0.000938772,0.000938772,0.000938772
18,677.278,1.32498,1.85697,1.37624,0.44628,0.47807,0.48447,0.34787,1.25772,1.74321,1.46759,0.000931067,0.000931067,0.000931067
19,715.036,1.34282,1.85254,1.38723,0.40165,0.57871,0.49822,0.35852,1.237,1.72299,1.46402,0.000922942,0.000922942,0.000922942
20,752.392,1.33277,1.81368,1.38185,0.44701,0.50458,0.50444,0.3686,1.24784,1.74332,1.45325,0.000914405,0.000914405,0.000914405
21,789.634,1.31644,1.79133,1.38183,0.4712,0.56857,0.53433,0.38892,1.23557,1.59844,1.4475,0.000905463,0.000905463,0.000905463
22,827.099,1.30691,1.7385,1.36041,0.47952,0.5522,0.53956,0.38816,1.22919,1.61644,1.41561,0.000896127,0.000896127,0.000896127
23,864.262,1.30563,1.73146,1.36574,0.53895,0.54143,0.56145,0.4147,1.21041,1.60154,1.4435,0.000886404,0.000886404,0.000886404
24,901.581,1.30394,1.70681,1.36406,0.48463,0.6,0.5851,0.42199,1.23416,1.4903,1.43324,0.000876305,0.000876305,0.000876305
25,938.783,1.31287,1.69093,1.36497,0.42541,0.54846,0.51271,0.36248,1.24544,1.67921,1.44922,0.000865839,0.000865839,0.000865839
26,975.993,1.27806,1.67953,1.35826,0.49165,0.53383,0.51785,0.37683,1.22213,1.67859,1.42852,0.000855018,0.000855018,0.000855018
27,1013.07,1.27681,1.65796,1.34674,0.4467,0.58124,0.56444,0.40386,1.1672,1.54717,1.39793,0.000843851,0.000843851,0.000843851
28,1050.43,1.27939,1.624,1.34541,0.44214,0.59801,0.55761,0.40542,1.1962,1.59771,1.4083,0.000832349,0.000832349,0.000832349
29,1087.64,1.26866,1.61755,1.34261,0.60308,0.51949,0.56075,0.40086,1.1784,1.64019,1.39593,0.000820525,0.000820525,0.000820525
30,1124.79,1.25644,1.56192,1.32928,0.44039,0.54437,0.53135,0.38889,1.20534,1.64371,1.40761,0.000808389,0.000808389,0.000808389
31,1162.27,1.25565,1.55106,1.33411,0.55997,0.53216,0.57379,0.42412,1.2024,1.44688,1.4236,0.000795954,0.000795954,0.000795954
32,1200.08,1.25937,1.53554,1.33801,0.45151,0.61997,0.55848,0.40663,1.20913,1.47974,1.42195,0.000783231,0.000783231,0.000783231
33,1238.31,1.26379,1.5278,1.32275,0.48621,0.62444,0.57876,0.42007,1.2249,1.4665,1.42778,0.000770234,0.000770234,0.000770234
34,1275.83,1.25053,1.52406,1.32165,0.56533,0.54012,0.58257,0.43009,1.2089,1.43073,1.40699,0.000756976,0.000756976,0.000756976
35,1313.11,1.25176,1.49548,1.32004,0.55707,0.60703,0.6278,0.46622,1.18818,1.35718,1.39923,0.000743468,0.000743468,0.000743468
36,1350.47,1.24584,1.45905,1.32491,0.53107,0.59597,0.60832,0.43924,1.19111,1.37827,1.4053,0.000729725,0.000729725,0.000729725
