epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.78,1.29491,4.18044,1.47902,0.32795,0.11809,0.11034,0.08536,0.95184,3.13376,1.38034,0.000100642,0.000100642,0.000100642
2,150.211,1.30361,3.4714,1.45921,0.19436,0.39285,0.19982,0.15272,1.00145,2.78661,1.40052,0.000194988,0.000194988,0.000194988
3,221.286,1.30162,3.10944,1.45293,0.20071,0.42297,0.25566,0.19492,1.01773,2.48505,1.46542,0.000282667,0.000282667,0.000282667
4,293.127,1.2864,2.91459,1.4425,0.27444,0.37421,0.29399,0.22325,0.98015,2.32087,1.38037,0.000273003,0.000273003,0.000273003
5,370.406,1.28198,2.78052,1.42885,0.33111,0.41505,0.33782,0.2482,1.03012,2.14494,1.40518,0.000263004,0.000263004,0.000263004
6,444.464,1.27347,2.64337,1.41427,0.43461,0.41898,0.40207,0.30614,1.0013,2.01999,1.37256,0.000253005,0.000253005,0.000253005
7,517.029,1.23744,2.53585,1.3846,0.32513,0.52007,0.41767,0.32052,0.98231,1.97821,1.3663,0.000243006,0.000243006,0.000243006
8,586.915,1.24456,2.43119,1.3914,0.37798,0.50858,0.44683,0.34048,0.98017,1.87501,1.37206,0.000233007,0.000233007,0.000233007
9,656.571,1.22981,2.3649,1.36871,0.3599,0.54845,0.46691,0.36225,0.98848,1.84084,1.38726,0.000223008,0.000223008,0.000223008
10,727.02,1.19921,2.28611,1.35842,0.48557,0.43609,0.46483,0.36336,0.95013,1.79409,1.31991,0.000213009,0.000213009,0.000213009
11,796.772,1.20499,2.26591,1.36043,0.39756,0.49505,0.48264,0.37233,0.94345,1.72823,1.31233,0.00020301,0.00020301,0.00020301
12,866.616,1.18807,2.18892,1.34148,0.39743,0.56872,0.5052,0.39486,0.97605,1.69564,1.33598,0.000193011,0.000193011,0.000193011
13,937.135,1.17774,2.13131,1.33872,0.43397,0.58749,0.52136,0.40146,0.95001,1.65537,1.32023,0.000183012,0.000183012,0.000183012
14,1008.35,1.17019,2.06797,1.3352,0.36439,0.61791,0.52485,0.40528,0.94772,1.65274,1.329,0.000173013,0.000173013,0.000173013
15,1078.25,1.16498,2.02607,1.32298,0.44071,0.55835,0.53497,0.4149,0.94789,1.58293,1.32756,0.000163014,0.000163014,0.000163014
16,1148.15,1.16743,1.98679,1.32541,0.43569,0.58272,0.52311,0.40432,0.97414,1.54637,1.3544,0.000153015,0.000153015,0.000153015
17,1218.41,1.15488,1.91054,1.32153,0.42143,0.62902,0.55231,0.42832,0.9292,1.53165,1.31202,0.000143016,0.000143016,0.000143016
18,1294.27,1.1568,1.90015,1.31466,0.41869,0.65698,0.55116,0.43112,0.93869,1.53668,1.31108,0.000133017,0.000133017,0.000133017
19,1364.23,1.14083,1.85826,1.30707,0.44692,0.60092,0.54676,0.42972,0.92958,1.57559,1.31008,0.000123018,0.000123018,0.000123018
20,1434.32,1.14295,1.82677,1.31255,0.49345,0.60387,0.59101,0.46357,0.9077,1.46342,1.29696,0.000113019,0.000113019,0.000113019
21,1501.16,1.08482,1.89486,1.29054,0.51255,0.60872,0.58481,0.46178,0.91862,1.50042,1.30411,0.00010302,0.00010302,0.00010302
22,1567.54,1.08298,1.81121,1.28097,0.54489,0.61694,0.60113,0.47705,0.90913,1.44952,1.2912,9.3021e-05,9.3021e-05,9.3021e-05
23,1642.29,1.06424,1.76013,1.28656,0.46066,0.65071,0.5942,0.47216,0.90259,1.44199,1.27669,8.3022e-05,8.3022e-05,8.3022e-05
24,1732.87,1.05253,1.70509,1.27021,0.4733,0.68422,0.60103,0.47051,0.92069,1.41342,1.29709,7.3023e-05,7.3023e-05,7.3023e-05
25,1838.59,1.03714,1.67774,1.27379,0.51225,0.61437,0.5957,0.46482,0.9095,1.42404,1.2844,6.3024e-05,6.3024e-05,6.3024e-05
26,1905.85,1.03719,1.64402,1.26058,0.53252,0.63276,0.61389,0.48406,0.91172,1.38937,1.28375,5.3025e-05,5.3025e-05,5.3025e-05
27,1973.78,1.02371,1.60545,1.24904,0.53627,0.64572,0.60803,0.48107,0.90939,1.37799,1.28572,4.3026e-05,4.3026e-05,4.3026e-05
28,2042.18,1.03178,1.61052,1.25807,0.50646,0.66383,0.62192,0.49695,0.90181,1.35591,1.28499,3.3027e-05,3.3027e-05,3.3027e-05
29,2110.01,1.01772,1.5833,1.25021,0.51588,0.66865,0.62538,0.49642,0.89565,1.3566,1.27876,2.3028e-05,2.3028e-05,2.3028e-05
30,2178,1.02031,1.54076,1.2447,0.61304,0.5909,0.62041,0.49337,0.89828,1.35105,1.28079,1.3029e-05,1.3029e-05,1.3029e-05
